Year,Dep. Airport,Destination,Destination_Region,Passengers (Thousand)
2011,Shannon,Scotland,UK,16.2
2011,Shannon,Poland,Eastern Europe,17.2
2011,Shannon,Spain,Southern Europe,20.3
2011,Shannon,France,Western Europe,21
2011,Shannon,Canary Islands,Africa,27.7
2011,Shannon,United States,Americas,157.7
2011,Shannon,England,UK,358.4
2012,Cork,Ireland (domestic),Ireland (domestic),0.1
2012,Cork,Wales,UK,0.1
2012,Cork,Other UK (1),UK,1.7
2012,Cork,Switzerland,Western Europe,1.7
2012,Cork,Belgium,Western Europe,12.3
2012,Cork,Germany,Western Europe,16
2012,Cork,Lithuania,Northern Europe,19.4
2012,Cork,Italy,Southern Europe,23.2
2012,Cork,Scotland,UK,34.3
2012,Cork,Portugal,Southern Europe,44.4
2012,Cork,Canary Islands,Africa,62.1
2012,Cork,France,Western Europe,71.7
2012,Cork,Netherlands,Western Europe,86.2
2012,Cork,Poland,Eastern Europe,88.6
2012,Cork,Spain,Southern Europe,121.1
2012,Cork,England,UK,538.9
2012,Dublin,Other Europe (12),Europe (other),0.1
2012,Dublin,Oceania and Polar regions (1),Oceania and Polar,0.5
2012,Dublin,Russian Federation,Eastern Europe,1.5
2012,Dublin,Israel,Asia,1.9
2012,Dublin,Morocco,Africa,4.9
2012,Dublin,Greece,Southern Europe,7.8
2012,Dublin,Bulgaria,Eastern Europe,12.1
2012,Dublin,Finland,Northern Europe,12.1
2012,Dublin,Estonia,Northern Europe,15
2012,Dublin,Croatia,Southern Europe,21.8
2012,Dublin,Other UK (1),UK,22.7
2012,Dublin,Malta,Southern Europe,28.8
2012,Dublin,Wales,UK,30.7
2012,Dublin,Ireland (domestic),Ireland (domestic),32.6
2012,Dublin,Romania,Eastern Europe,35.1
2012,Dublin,Slovakia,Eastern Europe,46.3
2012,Dublin,Canada,Americas,49.7
2012,Dublin,Austria,Western Europe,50.2
2012,Dublin,Czech Republic,Eastern Europe,50.9
2012,Dublin,Turkey,Asia,51.6
2012,Dublin,Latvia,Northern Europe,59
2012,Dublin,Norway,Northern Europe,70
2012,Dublin,Sweden,Northern Europe,71.6
2012,Dublin,Lithuania,Northern Europe,77.7
2012,Dublin,Hungary,Eastern Europe,94.3
2012,Dublin,Denmark,Northern Europe,98.9
2012,Dublin,Switzerland,Western Europe,152.6
2012,Dublin,Belgium,Western Europe,170.9
2012,Dublin,Canary Islands,Africa,212
2012,Dublin,United Arab Emirates,Asia,224
2012,Dublin,Portugal,Southern Europe,224.3
2012,Dublin,Netherlands,Western Europe,295.8
2012,Dublin,Scotland,UK,348.8
2012,Dublin,Poland,Eastern Europe,355.2
2012,Dublin,Italy,Southern Europe,429.9
2012,Dublin,France,Western Europe,641.1
2012,Dublin,Germany,Western Europe,667
2012,Dublin,United States,Americas,770.1
2012,Dublin,Spain,Southern Europe,830.5
2012,Dublin,England,UK,3044.1
2012,Kerry,Belgium,Western Europe,0.1
2012,Kerry,France,Western Europe,0.5
2012,Kerry,Spain,Southern Europe,10
2012,Kerry,Portugal,Southern Europe,10.2
2012,Kerry,Ireland (domestic),Ireland (domestic),15.7
2012,Kerry,Germany,Western Europe,25.8
2012,Kerry,England,UK,81.7
2012,Knock,France,Western Europe,0.5
2012,Knock,Italy,Southern Europe,0.5
2012,Knock,Turkey,Asia,0.5
2012,Knock,Germany,Western Europe,0.9
2012,Knock,Spain,Southern Europe,2
2012,Knock,Portugal,Southern Europe,2.2
2012,Knock,Canary Islands,Africa,4.2
2012,Knock,Scotland,UK,5.5
2012,Knock,England,UK,250.9
2012,Shannon,Austria,Western Europe,0.1
2012,Shannon,Ireland (domestic),Ireland (domestic),0.2
2012,Shannon,Canada,Americas,9.5
2012,Shannon,France,Western Europe,10.4
2012,Shannon,Scotland,UK,15.9
2012,Shannon,Canary Islands,Africa,16.5
2012,Shannon,Poland,Eastern Europe,17.5
2012,Shannon,Spain,Southern Europe,22.4
2012,Shannon,United States,Americas,141.6
2012,Shannon,England,UK,351.4
2013,Cork,Other UK (1),UK,1.8
2013,Cork,Switzerland,Western Europe,1.8
2013,Cork,Belgium,Western Europe,12.2
2013,Cork,Italy,Southern Europe,12.3
2013,Cork,Germany,Western Europe,15.3
2013,Cork,Lithuania,Northern Europe,16.1
2013,Cork,Scotland,UK,31.2
2013,Cork,Portugal,Southern Europe,47.8
2013,Cork,France,Western Europe,63
2013,Cork,Canary Islands,Africa,68.1
2013,Cork,Netherlands,Western Europe,86
2013,Cork,Poland,Eastern Europe,89.3
2013,Cork,Spain,Southern Europe,114.2
2013,Cork,England,UK,524.8
2013,Dublin,Oceania and Polar regions (1),Oceania and Polar,0.2
2013,Dublin,Russian Federation,Eastern Europe,1.5
2013,Dublin,Israel,Asia,2
2013,Dublin,Other Europe (12),Europe (other),2.5
2013,Dublin,Morocco,Africa,4.5
2013,Dublin,Estonia,Northern Europe,10.8
2013,Dublin,Bulgaria,Eastern Europe,11.1
2013,Dublin,Greece,Southern Europe,12.3
2013,Dublin,Finland,Northern Europe,16.3
2013,Dublin,Other UK (1),UK,23.1
2013,Dublin,Malta,Southern Europe,29.8
2013,Dublin,Wales,UK,31.5
2013,Dublin,Croatia,Southern Europe,31.8
2013,Dublin,Ireland (domestic),Ireland (domestic),32.8
2013,Dublin,Romania,Eastern Europe,35.8
2013,Dublin,Slovakia,Eastern Europe,48.3
2013,Dublin,Canada,Americas,49.1
2013,Dublin,Austria,Western Europe,50.3
2013,Dublin,Czech Republic,Eastern Europe,51.3
2013,Dublin,Latvia,Northern Europe,54.3
2013,Dublin,Norway,Northern Europe,66
2013,Dublin,Lithuania,Northern Europe,66.7
2013,Dublin,Turkey,Asia,68.5
2013,Dublin,Sweden,Northern Europe,74.2
2013,Dublin,Hungary,Eastern Europe,79.8
2013,Dublin,Denmark,Northern Europe,124.4
2013,Dublin,Switzerland,Western Europe,155.4
2013,Dublin,Belgium,Western Europe,198.9
2013,Dublin,Canary Islands,Africa,238.8
2013,Dublin,Portugal,Southern Europe,243.1
2013,Dublin,United Arab Emirates,Asia,252.1
2013,Dublin,Netherlands,Western Europe,317.9
2013,Dublin,Poland,Eastern Europe,352.1
2013,Dublin,Scotland,UK,361.7
2013,Dublin,Italy,Southern Europe,444.4
2013,Dublin,France,Western Europe,668.7
2013,Dublin,Germany,Western Europe,706.1
2013,Dublin,Spain,Southern Europe,854.4
2013,Dublin,United States,Americas,880.4
2013,Dublin,England,UK,3177.8
2013,Kerry,Portugal,Southern Europe,9.6
2013,Kerry,Spain,Southern Europe,10.8
2013,Kerry,Ireland (domestic),Ireland (domestic),16.7
2013,Kerry,Germany,Western Europe,28
2013,Kerry,England,UK,87.5
2013,Knock,Italy,Southern Europe,0.1
2013,Knock,Spain,Southern Europe,0.3
2013,Knock,Portugal,Southern Europe,0.5
2013,Knock,Canary Islands,Africa,1
2013,Knock,Scotland,UK,3.9
2013,Knock,England,UK,258.4
2013,Shannon,France,Western Europe,8.3
2013,Shannon,Portugal,Southern Europe,9.5
2013,Shannon,Canada,Americas,11.9
2013,Shannon,Canary Islands,Africa,16.3
2013,Shannon,Poland,Eastern Europe,17.2
2013,Shannon,Scotland,UK,18.7
2013,Shannon,Spain,Southern Europe,32.5
2013,Shannon,United States,Americas,166.4
2013,Shannon,England,UK,329.9
